name,url,createdAt,updatedAt
"Robert Hirschl, MD",https://www.doximity.com/cv/robert-hirschl-md-1,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Robert Hollis, MD",https://www.doximity.com/cv/robert-hollis-md-8676b478,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Robert Miller, MD",https://www.doximity.com/cv/robert-miller-md-6ed99289,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Robert Spinner, MD",https://www.doximity.com/cv/robert-spinner-md-1,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Ronald Zellem, MD",https://www.doximity.com/cv/ronald-zellem-md-slash-1,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Roxanna Garcia, MD",https://www.doximity.com/cv/roxanna-m-garcia-md,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Ryan Chiu, MD",https://www.doximity.com/cv/ryan-chiu,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Ryan Cleary, MD",https://www.doximity.com/cv/ryan-cleary-md,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Ryan Turner, MD",https://www.doximity.com/cv/ryan-turner-md-slash-3,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Saadi Ghatan, MD",https://www.doximity.com/cv/saadi-ghatan-md-1,2023-04-13T15:33:23.181Z,2023-04-13T15:33:23.181Z
"Scott Berta, MD",https://www.doximity.com/cv/scott-berta-md-1,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Selby Chen, MD",https://www.doximity.com/cv/selby-chen-md-1,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Seth Dannis, MD",https://www.doximity.com/cv/seth-dannis-md-1,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Shawn Hervey-Jumper, MD",https://www.doximity.com/cv/shawn-hervey-jumper-md-1,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Shayan Moosa, MD",https://www.doximity.com/cv/smoosamd,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Smruti Patel, MD",https://www.doximity.com/cv/smruti-k-patel-md,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Soren Singel, MD",https://www.doximity.com/cv/soren-singel-md-1,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Stephen Skirboll, MD",https://www.doximity.com/cv/stephen-skirboll-md-2,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Steven Beer, MD",https://www.doximity.com/cv/steven-beer-md-1,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Steven Giannotta, MD",https://www.doximity.com/cv/steven-giannotta-md-1,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Steven Kanter, MD",https://www.doximity.com/cv/steven-kanter-md-slash-2,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Sunil Jeswani, MD",https://www.doximity.com/cv/sunil-jeswani-md-slash-1,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Susan Durham, MD",https://www.doximity.com/cv/susan-durham-md-slash-1,2023-04-13T15:33:23.182Z,2023-04-13T15:33:23.182Z
"Tarun Arora, MD",https://www.doximity.com/cv/tarun-arora-md-b29349b8,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Terence Burns, MD",https://www.doximity.com/cv/terry-burns-md-slash-2,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
"Thomas Freeman, MD",https://www.doximity.com/cv/thomas-freeman-md-9e6bd665,2023-04-13T15:33:23.772Z,2023-04-13T15:33:23.772Z
